winner,loser,method
Mounir Lazzez,Ange Loosa,"Decision (unanimous) (30–27, 30–27, 30–27)"
Devin Clark,William Knight,TKO (punches)
Pannie Kianzad,Lina Länsberg,"Decision (unanimous) (29–28, 29–28, 29–28)"
Drakkar Klose,Brandon Jenkins,TKO (punches)
Rafa García,Jesse Ronson,Submission (rear-naked choke)
Martin Buday,Chris Barnett,"Technical Decision (unanimous) (30–27, 30–27, 30–27)"
Jordan Leavitt,Trey Ogden,"Decision (split) (28–29, 29–28, 29–28)"
Sam Hughes,Istela Nunes,"Decision (majority) (29–27, 29–27, 28–28)"
Alateng Heili,Kevin Croom,TKO (punches)
Alexander Volkanovski(c),Chan Sung Jung,TKO (punches)
Aljamain Sterling(c),Petr Yan(ic),"Decision (split) (48–47, 47–48, 48–47)"
Khamzat Chimaev,Gilbert Burns,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mackenzie Dern,Tecia Torres,"Decision (split) (28–29, 29–28, 29–28)"
Mark Madsen,Vinc Pichel,"Decision (unanimous) (30–27, 30–27, 29–28)"
Ian Garry,Darian Weeks,"Decision (unanimous) (29–28, 30–27, 30–27)"
Anthony Hernandez,Josh Fremd,"Decision (unanimous) (30–27, 30–27, 29–28)"
Raquel Pennington,Aspen Ladd,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mike Malott,Mickey Gall,TKO (punches)
Aleksei Oleinik,Jared Vanderaa,Submission (scarf hold)
Piera Rodríguez,Kay Hansen,"Decision (unanimous) (29–28, 29–28, 29–28)"
Julio Arce,Daniel Santos,"Decision (unanimous) (30–27, 30–27, 29–28)"
Curtis Blaydes,Chris Daukaus,TKO (punches)
Alexa Grasso,Joanne Wood,Submission (rear-naked choke)
Bryan Barberena,Matt Brown,"Decision (split) (29–28, 28–29, 29–28)"
Kai Kara-France,Askar Askarov,"Decision (unanimous) (29–28, 29–28, 29–28)"
Neil Magny,Max Griffin,"Decision (split) (29–28, 28–29, 29–28)"
Marc Diakiese,Viacheslav Borshchev,"Decision (unanimous) (30–27, 30–27, 30–27)"
Sara McMann,Karol Rosa,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chris Gutiérrez,Danaa Batgerel,TKO (spinning back fist and elbows)
Aliaskhab Khizriev,Denis Tiuliulin,Technical Submission (rear-naked choke)
Manon Fiorot,Jennifer Maia,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matheus Nicolau,David Dvořák,"Decision (unanimous) (29–28, 29–28, 29–28)"
Luis Saldaña,Bruno Souza,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tom Aspinall,Alexander Volkov,Submission (straight armbar)
Arnold Allen,Dan Hooker,TKO (punches and elbows)
Paddy Pimblett,Kazula Vargas,Submission (rear-naked choke)
Gunnar Nelson,Takashi Sato,"Decision (unanimous) (30–26, 30–26, 30–26)"
Molly McCann,Luana Carolina,KO (spinning back elbow)
Ilia Topuria,Jai Herbert,KO (punches)
Makwan Amirkhani,Mike Grundy,Technical Submission (anaconda choke)
Sergei Pavlovich,Shamil Abdurakhimov,TKO (punches)
Paul Craig,Nikita Krylov,Submission (triangle choke)
Jack Shore,Timur Valiev,"Decision (unanimous) (29–28, 29-28, 29–27)"
Elise Reed,Cory McKenna,"Decision (split) (27–30, 29–28, 29–28)"
Muhammad Mokaev,Cody Durden,Submission (guillotine choke)
Magomed Ankalaev,Thiago Santos,"Decision (unanimous) (49–46, 49–46, 48–47)"
Song Yadong,Marlon Moraes,KO (punches)
Sodiq Yusuff,Alex Caceres,"Decision (unanimous) (30–27, 30–27, 29–28)"
Khalil Rountree Jr.,Karl Roberson,TKO (body kick and punches)
Drew Dober,Terrance McKinney,TKO (knee and punches)
Alex Pereira,Bruno Silva,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matthew Semelsberger,A.J. Fletcher,"Decision (unanimous) (29–28, 29–28, 29–28)"
JJ Aldrich,Gillian Robertson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Javid Basharat,Trevin Jones,"Decision (unanimous) (30–27, 30–27, 29–28)"
Damon Jackson,Kamuela Kirk,Submission (arm-triangle choke)
Miranda Maverick,Sabina Mazo,Submission (rear-naked choke)
Cody Brundage,Dalcha Lungiambula,Submission (guillotine choke)
Guido Cannetti,Kris Moutinho,TKO (punches)
Azamat Murzakanov,Tafon Nchukwi,KO (flying knee)
Colby Covington,Jorge Masvidal,"Decision (unanimous) (49–46, 50–44, 50–45)"
Rafael dos Anjos,Renato Moicano,"Decision (unanimous) (49–45, 49–44, 50–44)"
Bryce Mitchell,Edson Barboza,"Decision (unanimous) (30–25, 30–26, 30–27)"
Kevin Holland,Alex Oliveira,TKO (elbows)
Sergey Spivak,Greg Hardy,TKO (punches)
Jalin Turner,Jamie Mullarkey,TKO (punches)
Marina Rodriguez,Yan Xiaonan,"Decision (split) (29–28, 28–29, 29–28)"
Nicolae Negumereanu,Kennedy Nzechukwu,"Decision (split) (27–29, 29–27, 29–27)"
Maryna Moroz,Mariya Agapova,Submission (arm-triangle choke)
Umar Nurmagomedov,Brian Kelleher,Submission (rear-naked choke)
Tim Elliott,Tagir Ulanbekov,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ľudovít Klein,Devonte Smith,"Decision (split) (28–29, 29–28, 30–27)"
Dustin Jacoby,Michał Oleksiejczuk,"Decision (unanimous) (29–28, 29–28, 29–28)"
Islam Makhachev,Bobby Green,TKO (punches)
Wellington Turman,Misha Cirkunov,Submission (armbar)
Priscila Cachoeira,Ji Yeon Kim,"Decision (unanimous) (29–28, 29–28, 29–28)"
Arman Tsarukyan,Joel Álvarez,TKO (punches)
Armen Petrosyan,Gregory Rodrigues,"Decision (split) (29–28, 28–29, 30–27)"
Ignacio Bahamondes,Rong Zhu,Submission (brabo choke)
Josiane Nunes,Ramona Pascual,"Decision (unanimous) (30–27, 30–27, 30–26)"
Terrance McKinney,Farès Ziam,Submission (rear-naked choke)
Jonathan Martinez,Alejandro Pérez,"Decision (unanimous) (29–28, 29–28, 30–27)"
Ramiz Brahimaj,Micheal Gillmore,Submission (rear-naked choke)
Carlos Hernández,Victor Altamirano,"Decision (split) (28–29, 30–27, 29–28)"
Jamahal Hill,Johnny Walker,KO (punch)
Kyle Daukaus,Jamie Pickett,Submission (D'Arce choke)
Parker Porter,Alan Baudot,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jim Miller,Nikolas Motta,TKO (punches)
Joaquin Buckley,Abdul Razak Alhassan,"Decision (split) (28–29, 29–28, 29–28)"
David Onama,Gabriel Benítez,KO (punches)
Stephanie Egger,Jessica-Rose Clark,Submission (armbar)
Chas Skelly,Mark Striegl,TKO (knee and punches)
Gloria de Paula,Diana Belbiţă,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chad Anheliger,Jesse Strader,TKO (punches)
Jonathan Pearce,Christian Rodriguez,"Decision (unanimous) (30–27, 29–28, 29–28)"
Mario Bautista,Jay Perrin,"Decision (unanimous) (30–27, 30–27, 30–26)"
Israel Adesanya(c),Robert Whittaker,"Decision (unanimous) (48–47, 48–47, 49–46)"
Tai Tuivasa,Derrick Lewis,KO (elbow)
Jared Cannonier,Derek Brunson,KO (elbows)
Renato Moicano,Alexander Hernandez,Submission (rear-naked choke)
Bobby Green,Nasrat Haqparast,"Decision (unanimous) (30–27, 30–27, 30–27)"
Andrei Arlovski,Jared Vanderaa,"Decision (split) (29–28, 28–29, 29–28)"
Casey O'Neill,Roxanne Modafferi,"Decision (split) (29–28, 28–29, 29–28)"
Kyler Phillips,Marcelo Rojo,Submission (triangle armbar)
Carlos Ulberg,Fabio Cherant,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ronnie Lawrence,Leomana Martinez,"Decision (unanimous) (29–27, 29–27, 29–28)"
Jacob Malkoun,A.J. Dobson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Douglas Silva de Andrade,Sergey Morozov,Technical Submission (rear-naked choke)
Jeremiah Wells,Mike Mathetha,Technical Submission (rear-naked choke)
Maxim Grishin,William Knight,"Decision (unanimous) (30–27, 30–27, 30–27)"
Sean Strickland,Jack Hermansson,"Decision (split) (49–46, 47–48, 49–46)"
Nick Maximov,Punahele Soriano,"Decision (split) (28–29, 30–27, 29–28)"
Shavkat Rakhmonov,Carlston Harris,KO (spinning hook kick and punches)
Brendan Allen,Sam Alvey,Submission (rear-naked choke)
Bryan Battle,Tresean Gore,"Decision (unanimous) (29–28, 29–28, 29–28)"
Julian Erosa,Steven Peterson,"Decision (split) (28–29, 29–28, 29–28)"
John Castañeda,Miles Johns,Technical Submission (arm-triangle choke)
Hakeem Dawodu,Michael Trizano,"Decision (unanimous) (30–27, 30–27, 30–27)"
Chidi Njokuani,Marc-André Barriault,KO (punches)
Alexis Davis,Julija Stoliarenko,"Decision (unanimous) (29–27, 29–27, 30–27)"
Jailton Almeida,Danilo Marques,TKO (punches)
Philip Rowe,Jason Witt,TKO (punches)
Malcolm Gordon,Denys Bondar,TKO (arm injury)
Francis Ngannou(c),Ciryl Gane(ic),"Decision (unanimous) (48–47, 48–47, 49–46)"
Deiveson Figueiredo,Brandon Moreno(c),"Decision (unanimous) (48–47, 48–47, 48–47)"
Michel Pereira,André Fialho,"Decision (unanimous) (29–28, 29–28, 29–28)"
Said Nurmagomedov,Cody Stamann,Submission (guillotine choke)
Michael Morales,Trevin Giles,TKO (punches)
Victor Henry,Raoni Barcelos,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jack Della Maddalena,Pete Rodriguez,TKO (punches)
Tony Gravely,Saimon Oliveira,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matt Frevola,Genaro Valdéz,TKO (punches)
Vanessa Demopoulos,Silvana Gómez Juárez,Submission (armbar)
Jasmine Jasudavicius,Kay Hansen,"Decision (unanimous) (30–27, 29–28, 29–28)"
Calvin Kattar,Giga Chikadze,"Decision (unanimous) (50–45, 50–45, 50–44)"
Jake Collier,Chase Sherman,Submission (rear-naked choke)
Brandon Royval,Rogério Bontorin,"Decision (split) (29–28, 28–29, 29–28)"
Katlyn Chookagian,Jennifer Maia,"Decision (unanimous) (30–27, 30–27, 30–27)"
Viacheslav Borshchev,Dakota Bush,TKO (punch to the body)
Bill Algeo,Joanderson Brito,"Decision (unanimous) (30–27, 29–28, 29–28)"
Jamie Pickett,Joseph Holmes,"Decision (unanimous) (29–28, 29–28, 29–28)"
Court McGee,Ramiz Brahimaj,"Decision (unanimous) (30–27, 30–27, 30–27)"
Brian Kelleher,Kevin Croom,"Decision (unanimous) (30–27, 30–27, 29–28)"
T.J. Brown,Charles Rosa,"Decision (unanimous) (29–28, 29–28, 29–28)"
Derrick Lewis,Chris Daukaus,KO (punches)
Belal Muhammad,Stephen Thompson,"Decision (unanimous) (30–25, 30–26, 30–26)"
Amanda Lemos,Angela Hill,"Decision (split) (28–29, 30–27, 29–28)"
Ricky Simón,Raphael Assunção,KO (punches)
Mateusz Gamrot,Carlos Diego Ferreira,TKO (submission to knee to the body)
Cub Swanson,Darren Elkins,TKO (spinning wheel kick and punches)
Gerald Meerschaert,Dustin Stoltzfus,Submission (rear-naked choke)
Justin Tafa,Harry Hunsucker,KO (head kick)
Melissa Gatto,Sijara Eubanks,TKO (body kick and punches)
Charles Jourdain,Andre Ewell,"Decision (unanimous) (30–26, 30–27, 29–27)"
Raquel Pennington,Macy Chiasson,Submission (guillotine choke)
Don'Tale Mayes,Josh Parisian,TKO (elbows)
Jordan Leavitt,Matt Sayles,Submission (inverted triangle choke)
Charles Oliveira(c),Dustin Poirier,Submission (rear-naked choke)
Julianna Peña,Amanda Nunes(c),Submission (rear-naked choke)
Geoff Neal,Santiago Ponzinibbio,"Decision (split) (28–29, 30–27, 29–28)"
Kai Kara-France,Cody Garbrandt,TKO (punches)
Sean O'Malley,Raulian Paiva,TKO (punches)
Josh Emmett,Dan Ige,"Decision (unanimous) (29–28, 29–28, 30–27)"
Dominick Cruz,Pedro Munhoz,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tai Tuivasa,Augusto Sakai,KO (punches)
Bruno Silva,Jordan Wright,TKO (punches)
André Muniz,Eryk Anders,Submission (armbar)
Erin Blanchfield,Miranda Maverick,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ryan Hall,Darrick Minner,"Decision (unanimous) (30–27, 30–27, 29–27)"
Tony Kelley,Randy Costa,TKO (elbows)
Gillian Robertson,Priscila Cachoeira,Submission (rear-naked choke)
José Aldo,Rob Font,"Decision (unanimous) (50–45, 50–45, 49–46)"
Rafael Fiziev,Brad Riddell,KO (spinning wheel kick)
Jamahal Hill,Jimmy Crute,KO (punches)
Clay Guida,Leonardo Santos,Submission (rear-naked choke)
Chris Curtis,Brendan Allen,TKO (punches and knees)
Alex Morono,Mickey Gall,"Decision (unanimous) (30–27, 30–27, 30–27)"
Duško Todorović,Maki Pitolo,TKO (punches)
Manel Kape,Zhalgas Zhumagulov,TKO (punches)
Bryan Barberena,Darian Weeks,"Decision (unanimous) (29–28, 29–28, 29–28)"
Cheyanne Vlismas,Mallory Martin,"Decision (unanimous) (30–27, 29–28, 29–28)"
William Knight,Alonzo Menifield,"Decision (unanimous) (29–28, 29–28, 29–28)"
Claudio Puelles,Chris Gruetzemacher,Submission (kneebar)
Vince Morales,Louis Smolka,KO (punches)
Ketlen Vieira,Miesha Tate,"Decision (unanimous) (48–47, 48–47, 49–46)"
Sean Brady,Michael Chiesa,"Decision (unanimous) (29–28, 29–28, 29–28)"
Taila Santos,Joanne Wood,Submission (rear-naked choke)
Rani Yahya,Kang Kyung-ho,"Decision (unanimous) (29–28, 29–28, 29–28)"
Adrian Yanez,Davey Grant,"Decision (split) (27–30, 29–28, 29–28)"
Pat Sabatini,Tucker Lutz,"Decision (unanimous) (30–26, 30–27, 30–27)"
Rafa García,Natan Levy,"Decision (unanimous) (29–28, 29–28, 29–28)"
Lupita Godinez,Loma Lookboonmee,"Decision (unanimous) (29–28, 29–28, 29–28)"
Cody Durden,Aori Qileng,"Decision (unanimous) (29–28, 29–28, 29–28)"
Shayilan Nuerdanbieke,Sean Soriano,"Decision (unanimous) (29–28, 29–28, 29–28)"
Luana Pinheiro,Sam Hughes,"Decision (unanimous) (30–27, 30–27, 29–28)"
Max Holloway,Yair Rodríguez,"Decision (unanimous) (49–46, 48–47, 48–47)"
Marcos Rogério de Lima,Ben Rothwell,TKO (punches)
Felicia Spencer,Leah Letson,TKO (punches)
Khaos Williams,Miguel Baeza,TKO (punches)
Song Yadong,Julio Arce,TKO (head kick and punches)
Joel Álvarez,Thiago Moisés,TKO (elbows and punches)
Andrea Lee,Cynthia Calvillo,TKO (corner stoppage)
Sean Woodson,Collin Anglin,TKO (punches to the body)
Cortney Casey,Liana Jojua,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rafael Alves,Marc Diakiese,Submission (guillotine choke)
Da Un Jung,Kennedy Nzechukwu,KO (elbows)
Kamaru Usman(c),Colby Covington,"Decision (unanimous) (48–47, 48–47, 49–46)"
Rose Namajunas(c),Zhang Weili,"Decision (split) (47–48, 48–47, 49–46)"
Marlon Vera,Frankie Edgar,KO (front kick)
Shane Burgos,Billy Quarantillo,"Decision (unanimous) (29–28, 29–28, 29–28)"
Justin Gaethje,Michael Chandler,"Decision (unanimous) (29–28, 29–28, 30–27)"
Alex Pereira,Andreas Michailidis,TKO (flying knee and punches)
Bobby Green,Al Iaquinta,TKO (punches)
Chris Curtis,Phil Hawes,KO (punches)
Nassourdine Imavov,Edmen Shahbazyan,TKO (elbows)
Ian Garry,Jordan Williams,KO (punches)
Chris Barnett,Gian Villante,TKO (spinning wheel kick and punches)
Dustin Jacoby,John Allan,"Decision (unanimous) (29–28, 29–28, 30–27)"
Melsik Baghdasaryan,Bruno Souza,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ode' Osbourne,C.J. Vergara,"Decision (unanimous) (29–28, 29–28, 29–28)"
Glover Teixeira,Jan Błachowicz(c),Submission (rear-naked choke)
Petr Yan,Cory Sandhagen,"Decision (unanimous) (49–46, 49–46, 49–46)"
Islam Makhachev,Dan Hooker,Submission (kimura)
Alexander Volkov,Marcin Tybura,"Decision (unanimous) (30–27, 30–27, 29–28)"
Khamzat Chimaev,Li Jingliang,Technical Submission (rear-naked choke)
Magomed Ankalaev,Volkan Oezdemir,"Decision (unanimous) (30–27, 30–27, 29–28)"
Amanda Ribas,Virna Jandiroba,"Decision (unanimous) (29–28, 29–28, 29–28)"
Zubaira Tukhugov,Ricardo Ramos,"Decision (unanimous) (29–28, 29–28, 29–28)"
Albert Duraev,Roman Kopylov,"Decision (unanimous) (30–27, 29–27, 29–27)"
Elizeu Zaleski dos Santos,Benoît Saint-Denis,"Decision (unanimous) (29–26, 29–26, 29–26)"
Michał Oleksiejczuk,Shamil Gamzatov,TKO (punches)
Lerone Murphy,Makwan Amirkhani,KO (knee)
Andre Petroski,Hu Yaozong,Submission (arm-triangle choke)
Tagir Ulanbekov,Allan Nascimento,"Decision (split) (28–29, 29–28, 29–28)"
Marvin Vettori,Paulo Costa,"Decision (unanimous) (48–46, 48–46, 48–46)"
Grant Dawson,Ricky Glenn,"Draw (majority) (29–28, 28–28, 28–28)"
Jessica-Rose Clark,Joselyne Edwards,"Decision (unanimous) (30–27, 30–27, 29–28)"
Alex Caceres,Seung Woo Choi,Submission (rear-naked choke)
Francisco Trinaldo,Dwight Grant,"Decision (split) (29–27, 27–29, 29–27)"
Nicolae Negumereanu,Ike Villanueva,TKO (punches)
Gregory Rodrigues,Jun Yong Park,KO (punches)
Mason Jones,David Onama,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tabatha Ricci,Maria de Oliveira Neta,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jamie Pickett,Laureano Staropoli,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jai Herbert,Khama Worthy,TKO (punches)
Jeff Molina,Daniel Lacerda,TKO (elbows and punches)
Randa Markos,Lívia Renata Souza,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jonathan Martinez,Zviad Lazishvili,"Decision (unanimous) (30–27, 29–28, 29–28)"
Norma Dumont,Aspen Ladd,"Decision (unanimous) (49–46, 49–46, 48–47)"
Andrei Arlovski,Carlos Felipe,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jim Miller,Erick Gonzalez,KO (punch)
Manon Fiorot,Mayra Bueno Silva,"Decision (unanimous) (30–26, 30–27, 30–27)"
Nate Landwehr,Ľudovít Klein,Submission (anaconda choke)
Bruno Silva,Andrew Sanchez,TKO (punches)
Danny Roberts,Ramazan Emeev,"Decision (split) (29–28, 28–29, 30–27)"
Luana Carolina,Lupita Godinez,"Decision (unanimous) (29–28, 29–28, 29–28)"
Danaa Batgerel,Brandon Davis,TKO (elbows and punches)
Ariane Carnelossi,Istela Nunes,Submission (rear-naked choke)
Marina Rodriguez,Mackenzie Dern,"Decision (unanimous) (49–46, 49–46, 49–46)"
Randy Brown,Jared Gooden,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matheus Nicolau,Tim Elliott,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mariya Agapova,Sabina Mazo,Submission (rear-naked choke)
Chris Gutiérrez,Felipe Colares,"Decision (split) (28–29, 30–27, 30–27)"
Alexander Romanov,Jared Vanderaa,TKO (punches)
Damon Jackson,Charles Rosa,"Decision (unanimous) (29–28, 29–27, 30–27)"
Lupita Godinez,Silvana Gómez Juárez,Submission (armbar)
Steve Garcia,Charlie Ontiveros,TKO (punches)
Thiago Santos,Johnny Walker,"Decision (unanimous) (48–47, 48–47, 48–47)"
Kevin Holland,Kyle Daukaus,No Contest (accidental clash of heads)
Niko Price,Alex Oliveira,"Decision (unanimous) (29–28, 29–28, 29–28)"
Krzysztof Jotko,Misha Cirkunov,"Decision (split) (29–28, 28–29, 29–28)"
Alexander Hernandez,Mike Breeden,KO (punch)
Jared Gordon,Joe Solecki,"Decision (split) (28–29, 29–28, 29–28)"
Casey O'Neill,Antonina Shevchenko,TKO (punches)
Karol Rosa,Bethe Correia,"Decision (unanimous) (30–27, 30–27, 30–26)"
Jamie Mullarkey,Devonte Smith,TKO (punches)
Douglas Silva de Andrade,Gaetano Pirrello,KO (punch)
Stephanie Egger,Shanna Young,TKO (elbow)
Alejandro Pérez,Johnny Eduardo,Submission (scarf hold armlock)
Alexander Volkanovski(c),Brian Ortega,"Decision (unanimous) (49–46, 50–45, 50–44)"
Valentina Shevchenko(c),Lauren Murphy,TKO (elbows and punches)
Robbie Lawler,Nick Diaz,TKO (retirement)
Curtis Blaydes,Jairzinho Rozenstruik,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jéssica Andrade,Cynthia Calvillo,TKO (punches)
Merab Dvalishvili,Marlon Moraes,TKO (punches)
Dan Hooker,Nasrat Haqparast,"Decision (unanimous) (30–27, 30–27, 30–26)"
Chris Daukaus,Shamil Abdurakhimov,TKO (punches and elbows)
Taila Santos,Roxanne Modafferi,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jalin Turner,Uroš Medić,Submission (rear-naked choke)
Nick Maximov,Cody Brundage,"Decision (unanimous) (29–28, 29–28, 29–28)"
Matthew Semelsberger,Martin Sano Jr.,KO (punch)
Jonathan Pearce,Omar Morales,Submission (rear-naked choke)
Anthony Smith,Ryan Spann,Submission (rear-naked choke)
Ion Cuțelaba,Devin Clark,"Decision (unanimous) (30–26, 29–26, 29–27)"
Ariane Lipski,Mandy Böhm,"Decision (unanimous) (30–27, 30–27, 30–27)"
Arman Tsarukyan,Christos Giagos,TKO (punches)
Nate Maness,Tony Gravely,TKO (punches)
Joaquin Buckley,Antônio Arroyo,KO (punches)
Tafon Nchukwi,Mike Rodríguez,"Decision (unanimous) (30–27, 30–27, 30–27)"
Raquel Pennington,Pannie Kianzad,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rong Zhu,Brandon Jenkins,TKO (punches)
Montel Jackson,JP Buys,"Decision (unanimous) (30–27, 30–27, 30–27)"
Erin Blanchfield,Sarah Alpar,"Decision (unanimous) (30–25, 30–25, 30–26)"
Carlston Harris,Impa Kasanganay,TKO (punches)
Gustavo Lopez,Alateng Heili,"Draw (unanimous) (28–28, 28–28, 28–28)"
Hannah Goldy,Emily Whitmire,Submission (armbar)
Derek Brunson,Darren Till,Submission (rear-naked choke)
Tom Aspinall,Sergey Spivak,TKO (elbow and punches)
Alex Morono,David Zawada,"Decision (unanimous) (30–27, 30–27, 30–27)"
Khalil Rountree Jr.,Modestas Bukauskas,TKO (leg kick)
Paddy Pimblett,Luigi Vendramini,KO (punches)
Molly McCann,Ji Yeon Kim,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jack Shore,Liudvik Sholinian,"Decision (unanimous) (30–27, 30–27, 30–27)"
Julian Erosa,Charles Jourdain,Submission (D'Arce choke)
Marc-André Barriault,Dalcha Lungiambula,"Decision (unanimous) (29–28, 29–28, 30–27)"
Giga Chikadze,Edson Barboza,TKO (punches)
Bryan Battle,Gilbert Urbina,Submission (rear-naked choke)
Ricky Turcios,Brady Hiestand,"Decision (split) (29–28, 28–29, 29–28)"
Daniel Rodriguez,Kevin Lee,"Decision (unanimous) (29–28, 29–28, 29–28)"
Andre Petroski,Micheal Gillmore,TKO (elbows and punches)
Gerald Meerschaert,Makhmud Muradov,Submission (rear-naked choke)
Abdul Razak Alhassan,Alessio Di Chirico,KO (head kick)
Wellington Turman,Sam Alvey,"Decision (split) (27–28, 28–27, 28–27)"
Dustin Jacoby,Darren Stewart,TKO (punches)
JJ Aldrich,Vanessa Demopoulos,"Decision (unanimous) (30–27, 30–27, 30–27)"
Pat Sabatini,Jamall Emmers,Submission (heel hook)
Mana Martinez,Guido Cannetti,"Decision (split) (29–28, 28–29, 29–28)"
Jared Cannonier,Kelvin Gastelum,"Decision (unanimous) (48–47, 48–47, 48–47)"
Mark Madsen,Clay Guida,"Decision (split) (29–28, 28–29, 30–27)"
Parker Porter,Chase Sherman,"Decision (unanimous) (30–27, 30–27, 29–28)"
Saidyokub Kakhramonov,Trevin Jones,Technical Submission (guillotine choke)
Vinc Pichel,Austin Hubbard,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alexandre Pantoja,Brandon Royval,Submission (rear-naked choke)
Austin Lingo,Luis Saldaña,"Decision (unanimous) (29–28, 29–28, 29–28)"
Brian Kelleher,Domingo Pilarte,"Decision (unanimous) (30–27, 30–27, 30–27)"
Josiane Nunes,Bea Malecki,KO (punch)
William Knight,Fabio Cherant,KO (punches)
Ignacio Bahamondes,Roosevelt Roberts,KO (spinning wheel kick)
Ramiz Brahimaj,Sasha Palatnikov,Technical Submission (rear-naked choke)
Ciryl Gane,Derrick Lewis,TKO (punches)
José Aldo,Pedro Munhoz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Vicente Luque,Michael Chiesa,Submission (D’Arce choke)
Tecia Torres,Angela Hill,"Decision (unanimous) (30–27, 30–27, 29–28)"
Song Yadong,Casey Kenney,"Decision (split) (28–29, 29–28, 30–27)"
Rafael Fiziev,Bobby Green,"Decision (unanimous) (30–27, 29–28, 29–28)"
Vince Morales,Drako Rodriguez,"Decision (unanimous) (30–27, 29–28, 29–28)"
Alonzo Menifield,Ed Herman,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jessica Penne,Karolina Kowalkiewicz,Submission (armbar)
Manel Kape,Ode' Osbourne,KO (flying knee and punches)
Miles Johns,Anderson dos Santos,KO (punch)
Melissa Gatto,Victoria Leonardo,TKO (doctor stoppage)
Johnny Muñoz Jr.,Jamey Simmons,Submission (rear-naked choke)
Sean Strickland,Uriah Hall,"Decision (unanimous) (50–44, 50–45, 49–46)"
Cheyanne Buys,Gloria de Paula,TKO (head kick and punches)
Jared Gooden,Niklas Stolze,KO (punch)
Melsik Baghdasaryan,Collin Anglin,TKO (head kick and punches)
Jason Witt,Bryan Barberena,"Decision (majority) (28–28, 29–27, 29–28)"
Chris Gruetzemacher,Rafa García,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kai Kamaka III,Danny Chavez,"Draw (majority) (29–27, 28–28, 28–28)"
Jinh Yu Frey,Ashley Yoder,"Decision (unanimous) (30–27, 30–27, 30–27)"
Zarrukh Adashev,Ryan Benoit,"Decision (unanimous) (30–27, 30–27, 29–28)"
Philip Rowe,Orion Cosce,TKO (punches)
T.J. Dillashaw,Cory Sandhagen,"Decision (split) (47–48, 48–47, 48–47)"
Raulian Paiva,Kyler Phillips,"Decision (majority) (29–28, 29–28, 28–28)"
Darren Elkins,Darrick Minner,TKO (punches)
Maycee Barber,Miranda Maverick,"Decision (split) (28–29, 29–28, 29–28)"
Adrian Yanez,Randy Costa,TKO (punches)
Brendan Allen,Punahele Soriano,"Decision (unanimous) (30–27, 30–27, 29–28)"
Nassourdine Imavov,Ian Heinisch,TKO (punches)
Mickey Gall,Jordan Williams,Submission (rear-naked choke)
Julio Arce,Andre Ewell,TKO (punches)
Sijara Eubanks,Elise Reed,TKO (punches)
Diana Belbiţă,Hannah Goldy,"Decision (unanimous) (30–27, 30–27, 30–27)"
Islam Makhachev,Thiago Moisés,Submission (rear-naked choke)
Miesha Tate,Marion Reneau,TKO (punches)
Mateusz Gamrot,Jeremy Stephens,Submission (kimura)
Rodolfo Vieira,Dustin Stoltzfus,Submission (rear-naked choke)
Billy Quarantillo,Gabriel Benítez,TKO (punches)
Daniel Rodriguez,Preston Parsons,TKO (punches)
Amanda Lemos,Montserrat Ruiz,TKO (punches)
Sergey Morozov,Khalid Taha,"Decision (unanimous) (30–27, 30–27, 30–27)"
Malcolm Gordon,Francisco Figueiredo,"Decision (unanimous) (30–27, 29–28, 29–28)"
Rodrigo Nascimento,Alan Baudot,No Contest (overturned)
Dustin Poirier,Conor McGregor,TKO (doctor stoppage)
