winner,loser,method
Esteban Ribovics,Kamuela Kirk,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sean Strickland,Abusupiyan Magomedov,TKO (punches)
Grant Dawson,Damir Ismagulov,"Decision (unanimous) (30–26, 30–27, 30–27)"
Michael Morales,Max Griffin,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ariane Lipski,Melissa Gatto,"Decision (split) (28–29, 30–27, 29–28)"
Benoît Saint-Denis,Ismael Bonfim,Submission (rear-naked choke)
Nursulton Ruziboev,Brunno Ferreira,KO (punches)
Rinat Fakhretdinov,Kevin Lee,Technical Submission (guillotine choke)
Joanderson Brito,Westin Wilson,KO (punches)
Karol Rosa,Yana Santos,"Decision (split) (28–29, 29–28, 29–28)"
Elves Brenner,Guram Kutateladze,TKO (punches)
Luana Carolina,Ivana Petrović,"Decision (unanimous) (29–28, 29–28, 29–28)"
Alexander Romanov,Blagoy Ivanov,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ilia Topuria,Josh Emmett,"Decision (unanimous) (50–44, 50–42, 49–45)"
Maycee Barber,Amanda Ribas,TKO (punches and elbows)
Austen Lane,Justin Tafa,No Contest (accidental eye poke)
David Onama,Gabriel Santos,KO (punch)
Brendan Allen,Bruno Silva,Submission (rear-naked choke)
Neil Magny,Philip Rowe,"Decision (split) (29–28, 28–29, 29–28)"
Randy Brown,Wellington Turman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mateusz Rębecki,Loik Radzhabov,TKO (punch)
Tabatha Ricci,Gillian Robertson,"Decision (unanimous) (29–28, 29–28, 30–27)"
Joshua Van,Zhalgas Zhumagulov,"Decision (split) (28–29, 29–28, 29–28)"
Jose Mariscal,Trevor Peek,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jack Jenkins,Jamall Emmers,"Decision (split) (27–30, 29–28, 29–28)"
Sedriques Dumas,Cody Brundage,"Decision (unanimous) (30–27, 29–28, 30–27)"
Jared Cannonier,Marvin Vettori,"Decision (unanimous) (49–45, 49–45, 48–46)"
Arman Tsarukyan,Joaquim Silva,TKO (punches)
Armen Petrosyan,Christian Leroy Duncan,"Decision (unanimous) (30–27, 29–28, 29–28)"
Pat Sabatini,Lucas Almeida,Submission (arm-triangle choke)
Manuel Torres,Nikolas Motta,KO (elbow)
Nicolas Dalby,Muslim Salikhov,"Decision (unanimous) (30–27, 30–27, 29–28)"
Alessandro Costa,Jimmy Flick,TKO (elbows)
Kang Kyung-ho,Cristian Quiñonez,Submission (rear-naked choke)
